source_term,type,count,should_translate,approved_ar,status,notes,example
Nephilim's,proper_noun,4,decide,,pending,,A substantial amount of Sanctified Blood crystalized into a Crimson Tear. Can be used to e
Water,proper_noun,4,decide,,pending,,"A vial of ""Lunar Water"", used to restore one's link to magick. The transmutation of water "
These,proper_noun,4,decide,,pending,,"Ah!  I see you're interested in my more rarified stock.  These are deadly, bloody knives, "
Upgrade,proper_noun,4,decide,,pending,,Blacksmith Upgrade: Epic
Player,proper_noun,4,decide,,pending,,Block Player
Info,proper_noun,4,decide,,pending,,Change Info
Windowed,proper_noun,4,decide,,pending,,Choose how the game window behaves. Fullscreen Windowed: easy app switching. Windowed: res
Demon Blood,proper_noun,4,decide,,pending,,Collect Demon Blood
Holy Water,proper_noun,4,decide,,pending,,Collect Holy Water
Arena,proper_noun,4,decide,,pending,,Combat Arena
Description,proper_noun,4,decide,,pending,,Description Description Description Description Description Description 
Failed,proper_noun,4,decide,,pending,,District Failed
Scraps,proper_noun,4,decide,,pending,,Enchantment Scraps
Player Name,proper_noun,4,decide,,pending,,Enter Player Name
Sound Effects,proper_noun,4,decide,,pending,,Environmental Sound Effects
Supplies,proper_noun,4,decide,,pending,,Food & Supplies
Flask Potency Lv,proper_noun,4,decide,,pending,,Health Flask Potency Lv. 2
Session Code,proper_noun,4,decide,,pending,,Host Session Code
Herba,proper_noun,4,decide,,pending,,"If you have a surplus, the alchemists always have a need for Herba"
Orthodoxy,proper_noun,4,decide,,pending,,Karsivite Orthodoxy
Power,proper_noun,4,decide,,pending,,Knowledge is Power
Left,proper_noun,4,decide,,pending,,"Lives
Left"
Right,proper_noun,4,decide,,pending,,Move Right
Aegis,proper_noun,4,decide,,pending,,New Angel : Aegis
Start,proper_noun,4,decide,,pending,,Press Start
Momentum,proper_noun,4,decide,,pending,,Relentless Momentum
Slot,proper_noun,4,decide,,pending,,Save Slot {slot}
Attacks,proper_noun,4,decide,,pending,,Sprint Attacks deal +20% Damage
Library,proper_noun,4,decide,,pending,,This is the Library. Here you'll be able review found lore and unlock additional quests fr
Bonus Attack Power,proper_noun,4,decide,,pending,,You apply oil to your weapon. The next 5 Heavy Attacks gain (+33% Bonus Attack Power). Las
Count,proper_noun,4,decide,,pending,,x{Count}
Series,proper_noun,4,decide,,pending,,Frame Generation boosts frame rates by using AI to render additional frames. 2X is support
Upscaling,proper_noun,4,decide,,pending,,AMD FSR™ Upscaling
Vulkan,proper_noun,4,decide,,pending,,AMD FSR™ Upscaling requires D3D12 or Vulkan RHI.
Xe Low Latency,proper_noun,4,decide,,pending,,Failed to initialize Intel® Xe Low Latency. This feature requires D3D12 or Vulkan RHI and 
Stone of Rot,proper_noun,4,decide,,pending,,Abraxas Stone of Rot
Slayer,proper_noun,4,decide,,pending,,Infernal Slayer
Cleric's Covenant,proper_noun,4,decide,,pending,,"A beautiful cuirass forged in honor of the Cleric's Covenant. 

This was the covenant that"
Zehamaic,proper_noun,4,decide,,pending,,"A beautiful cuirass forged in honor of the Cleric's Covenant. 

This was the covenant that"
Champions of Litinstang,proper_noun,4,decide,,pending,,"A cuirass designed for the Champions of Litinstang.

The city state of Litinstang in south"
Sir Camden,proper_noun,4,decide,,pending,,"A distinct red helmet belonging the Vermillion Knight of Belwayne.

The Alemendral's eldes"
Captain,proper_noun,4,decide,,pending,,"A distinct red helmet belonging the Vermillion Knight of Belwayne.

The Alemendral's eldes"
White Armor,proper_noun,4,decide,,pending,,"A gorgeous helmet belonging to an infamous traitor.

White Armor in reference to the fable"
White Phoenix,proper_noun,4,decide,,pending,,"A gorgeous helmet belonging to an infamous traitor.

White Armor in reference to the fable"
Prosperity,proper_noun,4,decide,,pending,,"A gorgeous helmet belonging to an infamous traitor.

White Armor in reference to the fable"
Avian,proper_noun,4,decide,,pending,,"A gorgeous helmet belonging to an infamous traitor.

White Armor in reference to the fable"
Belwayne's,proper_noun,4,decide,,pending,,A gorgeous winged helmet worn by Belwayne's fierce defenders. Adorned in their phoenix her
Threatened,proper_noun,4,decide,,pending,,A gorgeous winged helmet worn by Belwayne's fierce defenders. Adorned in their phoenix her
Alemendrals,proper_noun,4,decide,,pending,,A gorgeous winged helmet worn by Belwayne's fierce defenders. Adorned in their phoenix her
Gilded,proper_noun,4,decide,,pending,,A gorgeous winged helmet worn by Belwayne's fierce defenders. Adorned in their phoenix her
Mill Wards,proper_noun,4,decide,,pending,,A gorgeous winged helmet worn by Belwayne's fierce defenders. Adorned in their phoenix her
Dragon,proper_noun,4,decide,,pending,,"A heavy helmet, sure to strain the necks of mortal man.

According to fanciful legend, the"
Nephilim Apostates,proper_noun,4,decide,,pending,,A mournful hooded helmet worn by Nephilim Apostates.
Spectres,proper_noun,4,decide,,pending,,"A variant of Crimson Oath Armor, bestowed upon Nephilim who take The Oath of the Moonlight"
The Keeper's Oath,proper_noun,4,decide,,pending,,"A variant of Crimson Oath armor, bestowed upon Nephilim who take The Keeper's Oath.

Knigh"
Keeper's Oath,proper_noun,4,decide,,pending,,"A variant of Crimson Oath armor, bestowed upon Nephilim who take The Keeper's Oath.

Knigh"
Keepers,proper_noun,4,decide,,pending,,"A variant of Crimson Oath armor, bestowed upon Nephilim who take The Keeper's Oath.

Knigh"
Midnight,proper_noun,4,decide,,pending,,"A variant of Crimson Oath armor, bestowed upon Nephilim who take The Oath of Midnight.

Pa"
Paladins of ,proper_noun,4,decide,,pending,,"A variant of Crimson Oath armor, bestowed upon Nephilim who take The Oath of Midnight.

Pa"
Oath of Midnight,proper_noun,4,decide,,pending,,"A variant of Crimson Oath armor, bestowed upon Nephilim who take The Oath of Midnight.

Pa"
Black Hoods,proper_noun,4,decide,,pending,,"A variant of Crimson Oath armor, bestowed upon Nephilim who take The Oath of Midnight.

Pa"
Gold Hoods,proper_noun,4,decide,,pending,,"A variant of Crimson Oath armor, bestowed upon Nephilim who take The Oath of the Divine.

"
Hoods,proper_noun,4,decide,,pending,,"A variant of Crimson Oath armor, bestowed upon Nephilim who take The Oath of the Divine.

"
Illuminar's,proper_noun,4,decide,,pending,,"A variant of Crimson Oath armor, bestowed upon Nephilim who take The Oath of the Divine.

"
Sanctus Zealot,proper_noun,4,decide,,pending,,"An intimidating cuirass forged for the Sanctus Zealot. 

Legend tells of the first interfa"
Legend,proper_noun,4,decide,,pending,,"An intimidating cuirass forged for the Sanctus Zealot. 

Legend tells of the first interfa"
Lunitarians Sanctus Zealots,proper_noun,4,decide,,pending,,"An intimidating cuirass forged for the Sanctus Zealot. 

Legend tells of the first interfa"
House Haedrik,proper_noun,4,decide,,pending,,An ornate cuirass once belonging to a knight in service to House Haedrik from the western 
The Haedriks,proper_noun,4,decide,,pending,,An ornate cuirass once belonging to a knight in service to House Haedrik from the western 
Armaen,proper_noun,4,decide,,pending,,An ornate cuirass once belonging to a knight in service to House Haedrik from the western 
Sonai,proper_noun,4,decide,,pending,,As bright and colorful as the banners that hang above the high office of the Sonai magistr
Knight Cuirass,proper_noun,4,decide,,pending,,Belwayne Knight Cuirass
Sentries of Nachtendale's Sovereign,proper_noun,4,decide,,pending,,"Cuirass belonging to the Sentries of Nachtendale's Sovereign.

Nachtendale has been the mo"
Drakfeld Steppes,proper_noun,4,decide,,pending,,"Forged from thrice-cursed steel by the fabled hexalalurgists of the Drakfeld Steppes, the "
Here,proper_noun,4,decide,,pending,,"Greaves designed for the Champions of Litinstang.

The city state of Litinstang in souther"
Valiant,proper_noun,4,decide,,pending,,"Only the Valiant may wear this strange and prickly armor, for to wear it is to risk a view"
Cain's Dark Crusade,proper_noun,4,decide,,pending,,Specially crafted cuirass designed for Nephilim in service to the Knights of the Crimson M
Sages of Clan Telvaught,proper_noun,4,decide,,pending,,"The Sages of Clan Telvaught have had centuries to perfect their craft, weaving magic into "
Excoriator's of ,proper_noun,4,decide,,pending,,"Worn by the Excoriator's of the Telvaught Clan, this armor is unknown to the world as thos"
Telvaught Clan,proper_noun,4,decide,,pending,,"Worn by the Excoriator's of the Telvaught Clan, this armor is unknown to the world as thos"
Angelic Grace Recovery,proper_noun,4,decide,,pending,,+15% Angelic Grace Recovery.
Elemental Damage,proper_noun,4,decide,,pending,,+20% Elemental Damage.
Poisoned,proper_noun,4,decide,,pending,,Being Poisoned no longer Damages you.
Sunderance,proper_noun,4,decide,,pending,,Light Attack hits have a 50% chance to apply Sunderance.
Weapon Attacks,proper_noun,4,decide,,pending,,"When you Enter Angel Ascension, Poison all enemies within 5 meters, Weapon Attacks in Ange"
Enraged,proper_noun,4,decide,,pending,,"When you hit an enemy with a Light Attack while Enraged, you gain Rage."
Valahk,proper_noun,4,decide,,pending,,General Valahk - Nor
The Lord,proper_noun,4,decide,,pending,,"Mahkteah, The Lord of Perdition"
Journal,proper_noun,4,decide,,pending,,Dream Journal
Heresy,proper_noun,4,decide,,pending,,"Under the Inquisition Act of 760, this property has been temporarily seized by the Archspi"
Then,proper_noun,4,decide,,pending,,"- The Holy Phases -

New Moon: Cleansing. Quiet Renewal and Planning.

Waxing: Celebration"
Day of Harvest,proper_noun,4,decide,,pending,,"3rd Day of Harvest, Morning Watch
All quiet upon the tower. Dardin relieved on time, store"
Clan Moore,proper_noun,4,decide,,pending,,Ensure the research here reaches the representative from Clan Moore. We've managed to synt
Luminar,proper_noun,4,decide,,pending,,For the Holy Lineage in Luminar
City,proper_noun,4,decide,,pending,,"Greetings, upon the Eve of the New Moon.

By the Grace of the Lunitarian Faith, the Indust"
Even,proper_noun,4,decide,,pending,,"How could the knight who killed Valahk Nor, Gallant the Wise, The Honest, The Kind, Gallan"
What,proper_noun,4,decide,,pending,,I must now take my leave of Gildenarch. When the Archspire finds Renault’s smoldering corp
Lower,proper_noun,4,decide,,pending,,"Quarterly intake, Block C - 47 souls, billed. 

Quarterly intake, Block D - 102 souls, bil"
Knight Commander Gallant Alexander,proper_noun,4,decide,,pending,,"Rite of Conscription invoked by Knight Commander Gallant Alexander

For the Prisoner Lotte"
Karsivite,proper_noun,4,decide,,pending,,"The Karsivite pagans are a strange sort, not that any aren’t addled. The Conversions handl"
Karsiv,proper_noun,4,decide,,pending,,"The period following the establishment of the Crimson Concordat was tumultuous, as it was "
Empire,proper_noun,4,decide,,pending,,"The period following the establishment of the Crimson Concordat was tumultuous, as it was "
Tongue,proper_noun,4,decide,,pending,,"William Crowlich — Murder x2 — Arms (2), Legs (2), Spine: ✓ all 

Vktor Hall — Heresy — To"
Bloody Note,proper_noun,4,decide,,pending,,Worn Bloody Note
Some,proper_noun,4,decide,,pending,,"An incursion on normal difficulty
Some elites and special monsters
Uncommon to rare gear, "
Infernal Energy,proper_noun,4,decide,,pending,,Acquire Infernal Energy from a Hellrift.
Order's,proper_noun,4,decide,,pending,,Continue the Order's mission until Mereda has need of you.
Chalice,proper_noun,4,decide,,pending,,Find the Chalice in Elk Grove Academy and bring it back to the merchant.
Elite Demon Brutes,proper_noun,4,decide,,pending,,Kill Elite Demon Brutes.
Elite Feral Vampires,proper_noun,4,decide,,pending,,Kill Elite Feral Vampires.
Lost Soul,proper_noun,4,decide,,pending,,Kill the Lost Soul in the Southern Ward
Information,proper_noun,4,decide,,pending,,"Last Updated: February 3, 2026

Your privacy is important to us. This Privacy Statement (“"
Cookies,proper_noun,4,decide,,pending,,"Last Updated: February 3, 2026

Your privacy is important to us. This Privacy Statement (“"
Global Privacy Control,proper_noun,4,decide,,pending,,"Last Updated: February 3, 2026

Your privacy is important to us. This Privacy Statement (“"
Term,proper_noun,4,decide,,pending,,YOU MUST BE OVER THE AGE OF 18 YEARS OR THE AGE OF MAJORITY IN THE COUNTRY OR STATE IN WHI
Nintendo Terms,proper_noun,4,decide,,pending,,YOU MUST BE OVER THE AGE OF 18 YEARS OR THE AGE OF MAJORITY IN THE COUNTRY OR STATE IN WHI
Network Terms,proper_noun,4,decide,,pending,,YOU MUST BE OVER THE AGE OF 18 YEARS OR THE AGE OF MAJORITY IN THE COUNTRY OR STATE IN WHI
User Agreement,proper_noun,4,decide,,pending,,YOU MUST BE OVER THE AGE OF 18 YEARS OR THE AGE OF MAJORITY IN THE COUNTRY OR STATE IN WHI
Any,proper_noun,4,decide,,pending,,YOU MUST BE OVER THE AGE OF 18 YEARS OR THE AGE OF MAJORITY IN THE COUNTRY OR STATE IN WHI
Law,proper_noun,4,decide,,pending,,YOU MUST BE OVER THE AGE OF 18 YEARS OR THE AGE OF MAJORITY IN THE COUNTRY OR STATE IN WHI
Venue,proper_noun,4,decide,,pending,,YOU MUST BE OVER THE AGE OF 18 YEARS OR THE AGE OF MAJORITY IN THE COUNTRY OR STATE IN WHI
Beast,proper_noun,4,decide,,pending,,A Beast in The Garden
Into The Fray,proper_noun,4,decide,,pending,,Back Into The Fray
Saintess Reliqua,proper_noun,4,decide,,pending,,Prayers are offered to Saintess Reliqua in hopes of resolution.
Legion's,proper_noun,4,decide,,pending,,This is a staging ground. The Reborn are not so numerous to go to war with all of Eden. Th
Sanctus,proper_noun,4,decide,,pending,,Another night the Sanctus is not the front line.
Knight's,proper_noun,4,decide,,pending,,I touched the Knight's gauntlet at vigil last night.
Archy,proper_noun,4,decide,,pending,,"Hey Chap, you’ve done me a nice turn with that Locket. Perhaps I’ll trouble you again? I w"
Return,proper_noun,3,decide,,pending,,(HOLD) Return to Sanctus Clypeus
Slashing Damage,proper_noun,3,decide,,pending,,+2 Slashing Damage
Rewards Earned,proper_noun,3,decide,,pending,,1 / 6 Rewards Earned
Angel Sense,proper_noun,3,decide,,pending,,<Header>Angel Sense</>
Consumables,proper_noun,3,decide,,pending,,<Header>Consumables and Throwables</>
Gold,proper_noun,3,decide,,pending,,<Header>Gold and Souls</>
Status Effects,proper_noun,3,decide,,pending,,<Header>Status Effects</>
Brand of Judgement,proper_noun,3,decide,,pending,,A ring granting the Brand of Judgement and Scorching Verdict boons.
Blood,proper_noun,3,decide,,pending,,"A vial of ""Sanctified Blood"", designed to restore a Nephilim's wounds. The transmutation o"
Cleared,proper_noun,3,decide,,pending,,AI Cleared
Friend Invite,proper_noun,3,decide,,pending,,Accept Friend Invite
Angel Unlocked,proper_noun,3,decide,,pending,,Aegis Angel Unlocked
Uncommon,proper_noun,3,decide,,pending,,"An incursion on normal difficulty
Few elites and special monsters
Uncommon gear, uncommon "
Wild,proper_noun,3,decide,,pending,,An unusual wooden shield etched in runes and imbued with an 'arcane rot' that can poison f
Armor Unlocked,proper_noun,3,decide,,pending,,Apostate Armor Unlocked!
Settings,proper_noun,3,decide,,pending,,Apply Settings
Rare,proper_noun,3,decide,,pending,,Blacksmith Upgrade: Rare
Type,proper_noun,3,decide,,pending,,Border Type
Title,proper_noun,3,decide,,pending,,Character Title
One,proper_noun,3,decide,,pending,,Choose One
Shoreditch Wall Tower,proper_noun,3,decide,,pending,,Complete Shoreditch Wall Tower to Unlock.
The Forsaken Streets,proper_noun,3,decide,,pending,,Complete The Forsaken Streets to Unlock.
Warning,proper_noun,3,decide,,pending,,Content Warning
Bindings,proper_noun,3,decide,,pending,,Controller Bindings
Profile,proper_noun,3,decide,,pending,,Controller Profile
Vibration,proper_noun,3,decide,,pending,,Controller Vibration
New Character Failed,proper_noun,3,decide,,pending,,Creating New Character Failed
Dragon Assassin Greaves,proper_noun,3,decide,,pending,,Crimson Dragon Assassin Greaves
Might,proper_noun,3,decide,,pending,,Crusader's Might
Journal Excerpt,proper_noun,3,decide,,pending,,Cultist's Journal Excerpt
General Valahk,proper_noun,3,decide,,pending,,Defeat General Valahk 
Growths,proper_noun,3,decide,,pending,,Destroy Growths
Vow,proper_noun,3,decide,,pending,,Enduring Vow
Remaining,proper_noun,3,decide,,pending,,Enemies Remaining: 2
Ice,proper_noun,3,decide,,pending,,Enemy Variant: Ice
Hub,proper_noun,3,decide,,pending,,Exit to Hub
Co-Op,proper_noun,3,decide,,pending,,Filters: Co-Op
Rebuke Elixir,proper_noun,3,decide,,pending,,Flaming Rebuke Elixir
Experience Points,proper_noun,3,decide,,pending,,Grants Experience Points when consumed.
Fire Power,proper_noun,3,decide,,pending,,Grants tempoary Fire Power when consumed.
Flask Refill,proper_noun,3,decide,,pending,,Health Flask Refill
Axis,proper_noun,3,decide,,pending,,Invert Y Axis
Sent,proper_noun,3,decide,,pending,,Invite Sent
Deathknights,proper_noun,3,decide,,pending,,Kill Deathknights
Siphon,proper_noun,3,decide,,pending,,Mana Siphon
Keyboard,proper_noun,3,decide,,pending,,Mouse & Keyboard
Character,proper_noun,3,decide,,pending,,New Character
Privilege Check Failed,proper_noun,3,decide,,pending,,Online Privilege Check Failed
Parry Duration,proper_noun,3,decide,,pending,,Perfect Parry Duration
Name Is Empty,proper_noun,3,decide,,pending,,"Player Name Is Empty, please enter name"
Quest Quest Quest Quest,proper_noun,3,decide,,pending,,Quest Quest Quest Quest Quest Quest
Match,proper_noun,3,decide,,pending,,Quick Match
Test,proper_noun,3,decide,,pending,,Quick Test A
Changed,proper_noun,3,decide,,pending,,Settings Changed
Value,proper_noun,3,decide,,pending,,Target Y Value
Wooden Shield,proper_noun,3,decide,,pending,,Tarnished Wooden Shield
Lord Felwil,proper_noun,3,decide,,pending,,The Shepherds have returned with another haul of cattle from the surface. In accordance wi
Growth Hormone,proper_noun,3,decide,,pending,,The Shepherds have returned with another haul of cattle from the surface. In accordance wi
Felwil,proper_noun,3,decide,,pending,,The Shepherds have returned with another haul of cattle from the surface. In accordance wi
New Librarian Items,proper_noun,3,decide,,pending,,Unlocked: New Librarian Items
Arts,proper_noun,3,decide,,pending,,Weapon Arts
First Playable,proper_noun,3,decide,,pending,,"Welcome to our Hub location. 

Please note that this space is still very early in developm"
District,proper_noun,3,decide,,pending,,"Welcome to the Summer Build for Crimson Moon, which represents the current state of Crimso"
Burn,proper_noun,3,decide,,pending,,"You and Enemy attacks can apply many Status Effects such as Burn, Poison, Marked, Frost, a"
Found,proper_noun,3,decide,,pending,,[GA_PlayerParrying] - AchievementsSubsystem not Found
Local,proper_noun,3,decide,,pending,,"Downloading will overwrite the local save in slot {0} with the cloud save.

Cloud save: {1"
Super Resolution,proper_noun,3,decide,,pending,,DLSS Super Resolution
Windows,proper_noun,3,decide,,pending,,"DLSS requires at least Windows 10 Fall 2017 Creators Update 64-bit, (v1709, build 16299)."
Reflex Low Latency,proper_noun,3,decide,,pending,,NVIDIA Reflex Low Latency
Required,proper_noun,3,decide,,pending,,Restart Required.
Arc,proper_noun,3,decide,,pending,,Intel® XeSS Frame Generation technology uses AI to generate interpolated frames to signifi
Stone of Arcana,proper_noun,3,decide,,pending,,Abraxas Stone of Arcana
Stone of War,proper_noun,3,decide,,pending,,Abraxas Stone of War
Prologue,proper_noun,3,decide,,pending,,Complete the Prologue mission in death or victory
Vermillion Knight,proper_noun,3,decide,,pending,,"A distinct red helmet belonging the Vermillion Knight of Belwayne.

The Alemendral's eldes"
The Alemendral's,proper_noun,3,decide,,pending,,"A distinct red helmet belonging the Vermillion Knight of Belwayne.

The Alemendral's eldes"
According,proper_noun,3,decide,,pending,,"A heavy helmet, sure to strain the necks of mortal man.

According to fanciful legend, the"
Speed,proper_noun,3,decide,,pending,,Attack Speed
Staggered,proper_noun,3,decide,,pending,,"When you hit a Staggered enemy, they become Marked."
Light,proper_noun,3,decide,,pending,,Font of Light
Many,proper_noun,3,decide,,pending,,Shield of Many
Strikes,proper_noun,3,decide,,pending,,Sundering Strikes
Faithful,proper_noun,3,decide,,pending,,Zeal of the Faithful
The Withered,proper_noun,3,decide,,pending,,"Felwyl, The Withered"
Nachtstahl,proper_noun,3,decide,,pending,,Pitch and slag from the Nachtstahl mills. Hellgrowth burns just like any other weed.
Your Run,proper_noun,3,decide,,pending,,"Are you sure you want to leave the current session?

Your Run progress, souls, and equipme"
Cardinal,proper_noun,3,decide,,pending,,An inquisition? Has the Cardinal lost his mind? You don't need to convince me that this cu
Lotte Ananta,proper_noun,3,decide,,pending,,"Here you can purchase items from the Merchant to assist in your Runs.

The home of Lotte A"
Sigil,proper_noun,3,decide,,pending,,Nephilim can call upon the power of their Angelic Lineage to transform and unleash a deves
Transmitorium,proper_noun,3,decide,,pending,,Nephilim can call upon the power of their Angelic Lineage to transform and unleash a deves
Why,proper_noun,3,decide,,pending,,"Once more, I am roused from my sleep by gut-wrenching nightmares. The frequency is now unb"
By,proper_noun,3,decide,,pending,,This exotic piece of divine technology inscribes Angelic Sigils into the flesh of Nephilim
Once,proper_noun,3,decide,,pending,,"This is the Armory.

Here you can select and manage your Loadouts, stat allocation, and An"
Stamina Cost,proper_noun,3,decide,,pending,,Backstab Stamina Cost
Those,proper_noun,3,decide,,pending,,"
The Scribe’s disciplinary action has kept me from a night’s rest for some time. I pored o"
Grimhaven,proper_noun,3,decide,,pending,,4 years after Nachtstahl Steel Mills moved into the old Red Dog District we’ve seen the co
Soul Torn Beast,proper_noun,3,decide,,pending,,"A leather bound journal detailing a broken translation of the ""Last Will and Testament of "
Toby,proper_noun,3,decide,,pending,,"Alright, Toby, if you’re reading this, then you’ve gotten the key I slipped ya in the meal"
Castle Town,proper_noun,3,decide,,pending,,"Alright, Toby, if you’re reading this, then you’ve gotten the key I slipped ya in the meal"
Ramshorn,proper_noun,3,decide,,pending,,"Alright, Toby, if you’re reading this, then you’ve gotten the key I slipped ya in the meal"
Crusaders,proper_noun,3,decide,,pending,,"Before the Lunitarian Church established the Crimson Concordat, attempts to reduce instanc"
Demands,proper_noun,3,decide,,pending,,"Before the Lunitarian Church established the Crimson Concordat, attempts to reduce instanc"
Nachtstahl Steel Mill,proper_noun,3,decide,,pending,,"Dear Archbishop Dorion, I’ve written to you to follow up on our discussion at Felwyl’s din"
Moore's,proper_noun,3,decide,,pending,,"Dear Mathias

 We’ve followed Moore's lead on the cult, and what we’ve found is quite trou"
Purgatory,proper_noun,3,decide,,pending,,"Fewyl, the manor and the city is now yours as was promised. I will remain in the Spire ove"
Most,proper_noun,3,decide,,pending,,"Finally, at long last, all the pieces are falling into place. We have access to all 3 Ston"
Let,proper_noun,3,decide,,pending,,"Gallant,
I would have thought you writing impossible if not for the nameless things of stu"
As,proper_noun,3,decide,,pending,,"Gallant,
Your prose... beautiful as ever. 
But once again, all that comes of it are lies. "
Rumor,proper_noun,3,decide,,pending,,Garrison Rumor
Mr,proper_noun,3,decide,,pending,,"Halvern Room, half past the Tenth Bell. Knock twice, then once. Five of them — Devereaux, "
Tell,proper_noun,3,decide,,pending,,"Halvern Room, half past the Tenth Bell. Knock twice, then once. Five of them — Devereaux, "
God,proper_noun,3,decide,,pending,,"He was the god of war, and he wanted nothing else but to be in conflict with a blade in hi"
Infernal Magick,proper_noun,3,decide,,pending,,I am unable to rest easy with this talk of Infernal Magick circulating among the others. W
Armaean,proper_noun,3,decide,,pending,,I know you weren't exactly thrilled about being down 3 men this evening but I cannot have 
Helene,proper_noun,3,decide,,pending,,"I thought they was just takin’ the ones got sick at the tavern.
Piling ‘em in the streets."
Faithfully,proper_noun,3,decide,,pending,,"Mathias. 

I implore you to heed my warnings about these heretics. No longer can we stand "
Scholar,proper_noun,3,decide,,pending,,Missing Scholar’s Notes 
Tuesday,proper_noun,3,decide,,pending,,Monday. Fitting at Madame Auvern's at the Sixth Bell. Tea at Reverence Hall. The Devereaux
Seminary Hold,proper_noun,3,decide,,pending,,Our lord's Gala in Elk Grove Academy is tonight. We must prepare to cleanse the mortal fil
Clan Telvaught,proper_noun,3,decide,,pending,,"Solomon, your absence at the gathering has aroused suspicion among the Patriarchs and Matr"
Hunt,proper_noun,3,decide,,pending,,The Hunt for Aegoroth 
Saedrys,proper_noun,3,decide,,pending,,"The period following the establishment of the Crimson Concordat was tumultuous, as it was "
Archspire's,proper_noun,3,decide,,pending,,"Truly, I couldn't be more impressed with our recent discoveries on the science of Soul Ene"
Notice,proper_noun,3,decide,,pending,,Urgent Notice
An,proper_noun,3,decide,,pending,,"Vauron —

I am sending this to your townhouse, and I trust you will read it in your dressi"
Concordat,proper_noun,3,decide,,pending,,We’ve received a request from the Knights of the Crimson Moon. Get this: they want to allo
Imperial,proper_noun,3,decide,,pending,,"When Emperor Alonious of Saedrys laid down his crown before the Holy Lineage, the two part"
Eyes,proper_noun,3,decide,,pending,,"William Crowlich — Murder x2 — Arms (2), Legs (2), Spine: ✓ all 

Vktor Hall — Heresy — To"
Heart,proper_noun,3,decide,,pending,,"William Crowlich — Murder x2 — Arms (2), Legs (2), Spine: ✓ all 

Vktor Hall — Heresy — To"
Angelic Choir,proper_noun,3,decide,,pending,,Acquire lore on the Angelic Choir.
Blacksmith Gajov Resnyk,proper_noun,3,decide,,pending,,Acquire lore on the Blacksmith Gajov Resnyk.
Shoreditch Walltower,proper_noun,3,decide,,pending,,Collect Legendary Scraps from the Shoreditch Walltower.
Flesh-Wrought Egregore,proper_noun,3,decide,,pending,,Complete Challenge: Flesh-Wrought Egregore
The Flesh-Wrought Egregore,proper_noun,3,decide,,pending,,Defeat The Flesh-Wrought Egregore
Aleria,proper_noun,3,decide,,pending,,Find information on Aleria.
Knight Captain Rendaen,proper_noun,3,decide,,pending,,Find the Knight Captain Rendaen.
Revenant Crown,proper_noun,3,decide,,pending,,Find the Revenant Crown in the depths of Gildenarch.
ProbablyMonsters Inc,proper_noun,3,decide,,pending,,"Last Updated: February 3, 2026

Your privacy is important to us. This Privacy Statement (“"
Data,proper_noun,3,decide,,pending,,"Last Updated: February 3, 2026

Your privacy is important to us. This Privacy Statement (“"
Choice,proper_noun,3,decide,,pending,,"Last Updated: February 3, 2026

Your privacy is important to us. This Privacy Statement (“"
Contact,proper_noun,3,decide,,pending,,"Last Updated: February 3, 2026

Your privacy is important to us. This Privacy Statement (“"
Game Invite,proper_noun,3,decide,,pending,,Accept Game Invite
Ember,proper_noun,3,decide,,pending,,Divine Ember
Locket,proper_noun,3,decide,,pending,,Somber Locket
Advocate,proper_noun,3,decide,,pending,,An entity in the Hellgrowth calling himself the Advocate wants you to kill the last remain
Fallen Nephilim,proper_noun,3,decide,,pending,,Avenge the Fallen Nephilim
Bone,proper_noun,3,decide,,pending,,God Slayer: Of Rot and Bone.
Excursions,proper_noun,3,decide,,pending,,Perilous Excursions I: The Shifting Mirror
Akyreon,proper_noun,3,decide,,pending,,Remnants of Akyreon
Stricken Testament,proper_noun,3,decide,,pending,,The Stricken Testament I
Crusader,proper_noun,3,decide,,pending,,"A heater shield carried by Covenant Clerics, the warrior-priests of the Crusader corps.

T"
Carried,proper_noun,3,decide,,pending,,"A tower shield bearing the heron of the Velchorian throne.

Carried by Sovereign Sentries "
Signet,proper_noun,3,decide,,pending,,Empyrean Signet
Amulet,proper_noun,3,decide,,pending,,Frostbitten Amulet
Long,proper_noun,3,decide,,pending,,"Grants the Font of Light boon.

Long have there been legends of ancient relicts, used by t"
Quorum,proper_noun,3,decide,,pending,,"Grants the Hardened Fury boon.

Around the doomed churches of Quorum were placed special g"
Treveyan,proper_noun,3,decide,,pending,,"Grants the Last Bastion boon.

Once used as currency when gold was scarce, bricks from the"
Gildenarch's,proper_noun,3,decide,,pending,,The Industrial Heart of Grimhaven was central to Gildenarch's revival and its demise. Weap
Projectiles,proper_noun,3,decide,,pending,,Bleed Projectiles
Trail,proper_noun,3,decide,,pending,,Fire Trail
The Order's,proper_noun,3,decide,,pending,,"A glaive grown from Hellgrowth, its blade still warm to the touch.

Cut from raw biomass b"
Divine's,proper_noun,3,decide,,pending,,An ancient sword imbued with the Divine's holy moonlight. Its edge delivers immense Holy d
Gallant's,proper_noun,3,decide,,pending,,I served as a novice under Gallant's command
Withered,proper_noun,3,decide,,pending,,"Felwyl the Withered. Lich. Wanker. Good luck, friend."
Emphasize,proper_noun,2,decide,,pending,,"""Lorem <Emphasize>ipsum dolor sit amet, consectetur</> adipiscing elit. Integer gravida <E"
Bag Slots Unlocked,proper_noun,2,decide,,pending,,+2 Bag Slots Unlocked!
